"","Age","d13C","d15N"
"1",-50,-24.57,-2.71
"2",170,-23.82,0.53
"3",390,-22.07,0.93
"4",609,-20.94,0.32
"5",829,-22.1,0.94
"6",1049,-21.01,0.35
"7",1269,-21.97,0.16
"8",1488,-21.84,0.08
"9",1708,-20.46,0
"10",1928,-21.36,-0.07
"11",2148,-20.89,-0.3
"12",2368,-21.32,0.01
"13",2587,-21.84,0.19
"14",2807,-21.4,0.3
"15",3027,-21.09,0.38
"16",3247,-22.22,0.44
"17",3467,-21.6,0.36
"18",3686,-20.9,0.35
"19",3906,-20.42,0.61
"20",4126,-20.37,0.03
"21",4346,-20.68,0.32
"22",4565,-20.23,0.72
"23",4785,-20.92,0.67
"24",5005,-20.44,0.64
"25",5225,-20.6,0.65
"26",5445,-19.74,0.66
"27",5664,-20.18,0.68
"28",5884,-19.81,0.92
"29",6104,-20.89,0.46
"30",6324,-20.11,0.73
"31",6543,-21.14,0.37
"32",6763,-20.47,0.79
"33",6983,-20.83,0.45
"34",7203,-20.98,0.51
"35",7423,-20.81,0.63
"36",7642,-20.08,0.25
"37",7862,-20.47,-0.18
