V1,V2,V3,V4,Age
0.5207585690602461,0.3698480352953197,0.022929105227298952,0.08646429041713516,-57
0.5891337571937326,0.2980645698391119,0.02307746684782357,0.08972420611933193,185
0.4860774723786316,0.38719442030810497,0.020177235127330644,0.10655087218593279,421
0.5389689571371976,0.3635691849899155,0.02191654733901266,0.07554531053387432,644.5
0.5424919871885182,0.3482925457500186,0.023404372495459142,0.08581109456600405,856
0.5468069614904176,0.358934289840447,0.020026312548159085,0.07423243612097644,1254
0.5241571771086184,0.3489186494683335,0.026356617389245437,0.10056755603380263,1638
0.5733216627600989,0.3184541369780828,0.024279924863335373,0.08394427539848287,2031
0.4892932167797053,0.3866922318961518,0.0266245542598565,0.09738999706428633,2456
0.5433613939334441,0.3296101983998736,0.022634088389898575,0.10439431927678375,2914
0.531561680467239,0.34263130739903847,0.023782646842428264,0.10202436529129431,3375
0.46550937490537386,0.42791722508963403,0.019348798416945808,0.08722460158804621,3821
0.5658625988314959,0.33197553237561434,0.020980317140373655,0.08118155165251606,4242
0.5332645784275148,0.3525434542908758,0.025002661480722468,0.08918930580088688,4440
0.5271706781500105,0.37141146616462245,0.020090664638055002,0.08132719104731208,4629
0.5433575653809285,0.36111078470757546,0.021790759698508102,0.07374089021298794,4807.5
0.5465286450092226,0.3406177269484714,0.025842757325125396,0.08701087071718062,4974
0.5285289559737825,0.3475204107837625,0.01969909366004302,0.10425153958241197,5126.5
0.5273996975784996,0.35847797035326107,0.021470756653147564,0.09265157541509167,5389.5
0.4900515861703983,0.37563520469065637,0.02151809195413105,0.11279511718481422,5500
0.4971250397904447,0.40117463684379956,0.01982049604003965,0.08187982732571601,5598
0.5243206833690394,0.3590406641735594,0.026845612924746368,0.08979303953265497,5765.5
0.4731763330185363,0.40561898935568164,0.02518203786197587,0.0960226397638063,5838
0.5189932006098115,0.3463369843997335,0.021254890662503842,0.11341492432795115,5906
0.5545604222278486,0.3228229169673098,0.01884754901490942,0.10376911178993228,5969
0.5443947856325183,0.3429423090132118,0.01725858516909399,0.09540432018517586,6087
0.5159797521779625,0.3859250385010648,0.01996187221704614,0.07813333710392649,6196
0.4942827122664248,0.40462118347786974,0.020984177450289222,0.08011192680541619,6303
0.5081767698144919,0.3684510124606372,0.019423116257715638,0.10394910146715514,6410
0.49456299900781375,0.38122357178512356,0.025632407965598503,0.09858102124146402,6517
0.5044345243393139,0.37986561650717593,0.019629854175907364,0.09607000497760282,6730
0.5257124642529365,0.36425359121450895,0.02020421031945989,0.0898297342130945,6837
0.5242055486448494,0.33917033268838653,0.02554846727443136,0.1110756513923328,6943
0.5455156712260029,0.3361881341072767,0.02250751399368013,0.09578868067304026,7050
0.5349369618369677,0.34377674101053696,0.021295739394960805,0.09999055775753461,7157
